Date,Open,High,Low,Close,Adj Close,Volume
2001-08-27,42.916672,42.916672,42.759998,42.833328,28.581825,44700
2001-08-28,42.533329,42.583328,42.263329,42.343330,28.254860,319800
2001-08-29,42.450001,42.466671,42.099998,42.150002,28.125853,128400
2001-08-30,41.666672,41.666672,41.433331,41.549999,27.725487,36900
2001-08-31,41.533329,41.716671,41.466671,41.650002,27.792215,1656900
2001-09-04,40.766670,41.166672,40.700001,40.700001,27.158298,570000
2001-09-05,40.566669,40.683331,40.333328,40.450001,26.991478,31500
2001-09-06,39.833328,39.833328,39.533329,39.533329,26.379808,284700
2001-09-07,39.466671,39.466671,39.166672,39.299999,26.224104,99900
2001-09-10,38.433331,38.866669,38.200001,38.849998,25.923828,1438200
2001-09-17,36.750000,37.299999,36.700001,37.150002,24.789455,170400
2001-09-18,36.816669,37.083328,36.666672,36.849998,24.589272,991500
2001-09-19,37.200001,37.200001,36.283329,36.750000,24.522545,435600
2001-09-20,35.766670,35.766670,35.150002,35.150002,23.454899,123000
2001-09-21,32.666672,34.500000,32.666672,34.166672,22.798742,110100
2001-09-24,35.333328,35.816669,35.116669,35.750000,23.855268,139500
2001-09-25,36.133331,36.433331,35.849998,36.166672,24.133301,151500
2001-09-26,36.483330,36.483330,36.233330,36.349998,24.255630,138600
2001-09-27,36.349998,36.933331,36.283329,36.923328,24.638203,662400
2001-09-28,37.299999,37.720001,37.226669,37.643330,25.118645,663900
2001-10-01,37.066669,37.439999,36.993328,37.439999,24.982969,432900
2001-10-02,37.000000,37.516670,37.000000,37.516670,25.071182,309900
2001-10-03,36.833328,38.063332,36.833328,37.900002,25.327343,398700
2001-10-04,38.233330,38.500000,37.866669,38.303329,25.596888,578400
2001-10-05,38.303329,38.533329,38.099998,38.363331,25.636980,274200
2001-10-08,37.910000,38.416672,37.866669,38.133331,25.483282,127800
2001-10-09,38.316669,38.450001,37.983330,38.033329,25.416445,2442600
2001-10-10,38.500000,38.866669,38.500000,38.799999,25.928785,84600
2001-10-11,39.216671,39.313332,38.833328,39.066669,26.106995,197400
2001-10-12,38.599998,39.016670,38.599998,39.016670,26.073582,83400
2001-10-15,38.500000,38.666672,38.383331,38.400002,25.661482,192600
2001-10-16,38.766670,38.933331,38.599998,38.933331,26.017883,361800
2001-10-17,39.666672,39.666672,38.966671,38.966671,26.040169,224700
2001-10-18,38.766670,38.866669,38.333328,38.650002,25.828547,260700
2001-10-19,38.133331,38.299999,37.919998,38.266670,25.572378,258000
2001-10-22,38.000000,38.533329,38.000000,38.533329,25.750584,393000
2001-10-23,38.966671,39.099998,38.840000,38.840000,25.955515,159300
2001-10-24,39.166672,39.333328,39.033329,39.230000,26.216135,161100
2001-10-25,38.750000,39.233330,38.583328,39.173328,26.178276,63900
2001-10-26,39.033329,39.426670,39.033329,39.426670,26.347569,169500
2001-10-29,39.333328,39.363331,38.603329,38.603329,25.797359,595500
2001-10-30,38.366669,38.466671,38.020000,38.166672,25.505550,260100
2001-10-31,38.633331,38.750000,38.220001,38.273331,25.576826,783000
2001-11-01,38.799999,39.080002,38.566669,39.080002,26.115908,810300
2001-11-02,38.993328,39.093330,38.779999,39.076672,26.113672,908700
2001-11-05,39.133331,39.553329,39.133331,39.466671,26.374302,168600
2001-11-06,39.500000,39.950001,39.366669,39.876671,26.648293,651300
2001-11-07,39.299999,39.633331,39.266670,39.516670,26.407719,352200
2001-11-08,39.766670,40.156670,39.766670,39.799999,26.597057,989400
2001-11-09,39.433331,39.776669,39.416672,39.733330,26.552500,970200
2001-11-12,39.166672,39.259998,38.916672,39.200001,26.196096,512700
2001-11-13,39.433331,39.606670,39.410000,39.560001,26.436665,298800
2001-11-14,39.733330,39.790001,39.533329,39.599998,26.463396,152400
2001-11-15,39.583328,39.793331,39.563332,39.770000,26.577007,4697400
2001-11-16,40.000000,40.093330,39.846668,39.993328,26.726254,659700
2001-11-19,40.400002,40.476669,40.136669,40.193329,26.859909,432900
2001-11-20,40.166672,40.183331,39.916672,39.916672,26.675020,358800
2001-11-21,39.933331,39.933331,39.663330,39.813332,26.605968,143100
2001-11-23,39.799999,39.939999,39.799999,39.939999,26.690617,228300
2001-11-26,40.299999,40.400002,40.126671,40.326672,26.949007,360300
2001-11-27,40.083328,40.086670,39.673328,40.013329,26.739613,443700
2001-11-28,39.333328,39.590000,39.299999,39.316669,26.274059,534000
2001-11-29,39.483330,39.533329,39.290001,39.403332,26.331974,1168500
2001-11-30,39.466671,39.683331,39.466671,39.553329,26.432211,1092600
2001-12-03,39.099998,39.306671,39.020000,39.216671,26.207239,541500
2001-12-04,39.400002,39.773331,39.400002,39.773331,26.579229,1386300
2001-12-05,40.283329,40.799999,40.256672,40.730000,27.218548,524400
2001-12-06,40.666672,40.926670,40.610001,40.856670,27.303196,508200
2001-12-07,40.366669,40.480000,40.169998,40.240002,26.891090,5501100
2001-12-10,39.466671,39.750000,39.416672,39.466671,26.374302,564000
2001-12-11,39.599998,39.776669,39.536671,39.546669,26.427757,1061100
2001-12-12,39.833328,39.833328,39.433331,39.709999,26.536909,447900
2001-12-13,39.000000,39.083328,38.686668,38.770000,25.908737,728100
2001-12-14,39.000000,39.063332,38.863331,38.993328,26.057978,874800
2001-12-17,39.166672,39.616669,39.150002,39.456669,26.367617,678300
2001-12-18,39.616669,39.733330,39.473331,39.563332,26.438904,908400
2001-12-19,39.000000,39.216671,38.923328,39.150002,26.162685,772500
2001-12-20,39.000000,39.099998,38.849998,38.959999,26.035707,1377600
2001-12-21,39.033329,39.156670,38.983330,39.156670,26.167137,901200
2001-12-24,38.799999,39.049999,38.799999,38.983330,26.069498,291300
2001-12-26,38.666672,39.126671,38.666672,38.950001,26.047209,499500
2001-12-27,39.333328,39.533329,39.283329,39.466671,26.392727,418500
2001-12-28,39.700001,39.826672,39.666672,39.779999,26.602255,1309200
2001-12-31,39.810001,39.970001,39.766670,39.766670,26.593340,717300
2002-01-02,39.950001,39.986671,39.653332,39.986671,26.740463,1215900
2002-01-03,40.033329,40.346668,40.000000,40.346668,26.981207,971400
2002-01-04,40.666672,40.689999,40.333328,40.613331,27.159538,377400
2002-01-07,40.243328,40.383331,40.006672,40.073330,26.798426,387900
2002-01-08,39.533329,39.786671,39.483330,39.616669,26.493036,532500
2002-01-09,39.606670,39.686668,39.200001,39.200001,26.214392,1169100
2002-01-10,39.296669,39.376671,39.166672,39.293331,26.276806,539400
2002-01-11,39.349998,39.446671,39.033329,39.070000,26.127462,697200
2002-01-14,38.849998,39.000000,38.586670,38.680000,25.866650,537600
2002-01-15,38.833328,38.900002,38.383331,38.650002,25.846584,887100
2002-01-16,38.133331,38.326672,37.970001,37.970001,25.391855,425400
2002-01-17,38.583328,38.630001,38.316669,38.516670,25.757423,526200
2002-01-18,38.400002,38.500000,38.250000,38.500000,25.746273,580800
2002-01-22,38.543331,38.543331,37.856670,38.049999,25.445347,561900
2002-01-23,38.226669,38.233330,38.040001,38.150002,25.512218,757200
2002-01-24,38.536671,38.599998,38.270000,38.356670,25.650427,467700
2002-01-25,37.966671,38.086670,37.776669,37.810001,25.284853,582000
2002-01-28,38.133331,38.180000,37.916672,38.163330,25.521135,1504800
2002-01-29,37.849998,37.966671,36.930000,37.103329,24.812277,463200
2002-01-30,37.150002,37.513329,36.820000,37.513329,25.086460,507900
2002-01-31,37.616669,37.616669,37.216671,37.466671,25.055260,734100
2002-02-01,37.656670,37.656670,37.259998,37.383331,24.999519,452100
2002-02-04,37.483330,37.483330,36.856670,37.076672,24.794453,683400
2002-02-05,36.700001,36.786671,36.299999,36.336670,24.299587,259800
2002-02-06,36.233330,36.500000,36.233330,36.283329,24.263914,382800
2002-02-07,36.599998,36.860001,36.500000,36.686668,24.533640,122100
2002-02-08,37.033329,37.180000,36.810001,37.180000,24.863550,536100
2002-02-11,37.416672,37.636669,37.333328,37.633331,25.166708,240300
2002-02-12,37.516670,37.736671,37.383331,37.616669,25.155565,107100
2002-02-13,37.716671,37.793331,37.533329,37.666672,25.189003,141900
2002-02-14,37.833328,38.193329,37.816669,37.966671,25.389624,225000
2002-02-15,38.066669,38.066669,37.683331,37.733330,25.233580,258300
2002-02-19,37.073330,37.116669,36.786671,36.933331,24.698593,300000
2002-02-20,36.833328,37.099998,36.616669,37.099998,24.810041,257700
2002-02-21,37.116669,37.233330,36.700001,36.846668,24.640633,445800
2002-02-22,37.066669,37.216671,36.900002,37.113331,24.818962,226200
2002-02-25,37.299999,37.596668,37.209999,37.580002,25.131042,159900
2002-02-26,37.453331,37.533329,37.176670,37.366669,24.988380,164700
2002-02-27,37.833328,37.959999,37.516670,37.783329,25.267014,325500
2002-02-28,37.846668,38.126671,37.833328,37.916672,25.356192,247500
2002-03-01,38.246670,38.633331,38.123329,38.633331,25.835443,239400
2002-03-04,39.166672,39.980000,39.133331,39.953331,26.718176,856500
2002-03-05,39.516670,39.723331,39.400002,39.513329,26.423922,406800
2002-03-06,39.599998,40.053329,39.500000,39.923328,26.698103,735600
2002-03-07,40.750000,40.750000,40.333328,40.543331,27.112722,832800
2002-03-08,40.933331,40.963329,40.473331,40.603329,27.152842,255900
2002-03-11,40.683331,40.686668,40.400002,40.666672,27.195200,666600
2002-03-12,39.933331,40.200001,39.726669,40.200001,26.883127,890700
2002-03-13,40.000000,40.080002,39.766670,39.766670,26.593340,184200
2002-03-14,40.099998,40.366669,40.093330,40.160000,26.856371,277800
2002-03-15,40.333328,40.676670,40.283329,40.606670,27.155083,90300
2002-03-18,40.633331,40.636669,40.386669,40.560001,27.123867,387600
2002-03-19,40.799999,40.849998,40.673328,40.763329,27.259846,202200
2002-03-20,40.483330,40.483330,40.240002,40.240002,26.909874,295500
2002-03-21,40.330002,40.406670,40.033329,40.343330,26.978979,164100
2002-03-22,40.186668,40.270000,39.953331,39.986671,26.740463,179700
2002-03-25,40.099998,40.143330,39.493328,39.493328,26.410553,405000
2002-03-26,39.750000,39.996670,39.580002,39.743328,26.577734,281700
2002-03-27,39.833328,39.946671,39.766670,39.803329,26.617859,196500
2002-03-28,40.216671,40.320000,39.959999,40.033329,26.771667,546600
2002-04-01,40.033329,40.266670,39.766670,40.256672,26.921024,334200
2002-04-02,40.200001,40.246670,40.066669,40.099998,26.816244,333900
2002-04-03,40.270000,40.433331,39.910000,40.106670,26.820719,148800
2002-04-04,40.099998,40.166672,39.816669,40.049999,26.782810,246000
2002-04-05,40.250000,40.346668,39.913330,40.049999,26.782810,262500
2002-04-08,39.483330,39.590000,39.299999,39.586670,26.472975,377100
2002-04-09,39.633331,39.683331,39.483330,39.526669,26.432840,198300
2002-04-10,39.816669,40.070000,39.759998,40.043331,26.778362,288600
2002-04-11,39.799999,39.810001,39.139999,39.153332,26.183184,315300
2002-04-12,39.433331,39.630001,39.333328,39.553329,26.450668,180300
2002-04-15,39.866669,39.880001,39.516670,39.833328,26.637920,199500
2002-04-16,40.266670,40.666672,40.266670,40.580002,27.137251,208500
2002-04-17,40.900002,40.900002,40.630001,40.633331,27.172909,158700
2002-04-18,40.916672,40.926670,40.366669,40.763329,27.259846,127200
2002-04-19,40.783329,40.926670,40.599998,40.926670,27.369074,379500
2002-04-22,40.483330,40.650002,40.443329,40.639999,27.177374,151500
2002-04-23,40.549999,40.756672,40.433331,40.533329,27.106037,143700
2002-04-24,40.816669,40.816669,40.333328,40.333328,26.972288,312600
2002-04-25,40.400002,40.700001,40.189999,40.700001,27.217499,591900
2002-04-26,40.783329,40.790001,40.273331,40.340000,26.976749,149100
2002-04-29,40.466671,40.529999,40.169998,40.233330,26.905415,249300
2002-04-30,40.349998,40.779999,40.053329,40.643330,27.179592,222600
2002-05-01,40.660000,40.980000,40.169998,40.856670,27.322266,422100
2002-05-02,41.000000,41.000000,40.463329,40.746670,27.248699,819600
2002-05-03,41.000000,41.083328,40.696671,41.023331,27.433716,784800
2002-05-06,40.873329,40.906670,40.503330,40.599998,27.150620,445200
2002-05-07,40.616669,40.616669,40.066669,40.066669,26.793961,1614900
2002-05-08,40.566669,41.009998,40.560001,40.950001,27.384676,1940100
2002-05-09,40.700001,40.893330,40.430000,40.750000,27.250925,2548200
2002-05-10,40.883331,40.883331,40.283329,40.413330,27.025787,2427000
2002-05-13,40.660000,41.026669,40.533329,41.013329,27.427031,270600
2002-05-14,41.066669,41.133331,40.696671,41.060001,27.458242,600900
2002-05-15,41.126671,41.483330,41.003330,41.233330,27.574152,907800
2002-05-16,41.400002,41.549999,41.266670,41.443329,27.714584,56061600
2002-05-17,41.833328,41.900002,41.586670,41.813332,27.962021,1063200
2002-05-20,41.766670,41.833328,41.536671,41.599998,27.819359,1486800
2002-05-21,41.700001,41.700001,41.436668,41.536671,27.777002,1022700
2002-05-22,41.416672,41.646671,41.400002,41.616669,27.830496,614100
2002-05-23,41.266670,41.703331,41.266670,41.656670,27.857246,839700
2002-05-24,41.416672,41.496670,41.333328,41.383331,27.674454,781200
2002-05-28,41.483330,41.496670,41.173328,41.299999,27.618731,1505400
2002-05-29,41.216671,41.316669,41.119999,41.259998,27.591988,1021200
2002-05-30,41.066669,41.116669,40.849998,41.076672,27.469383,806100
2002-05-31,41.116669,41.183331,40.843330,40.860001,27.324486,1322700
2002-06-03,41.033329,41.183331,40.716671,40.783329,27.273216,555900
2002-06-04,40.349998,40.706669,40.349998,40.549999,27.117189,1016100
2002-06-05,40.299999,40.546669,40.226669,40.466671,27.061459,558300
2002-06-06,40.463329,40.526669,40.033329,40.066669,26.793961,687000
2002-06-07,39.666672,39.923328,39.433331,39.750000,26.582197,854400
2002-06-10,39.933331,40.060001,39.666672,39.880001,26.669134,1003200
2002-06-11,40.000000,40.146671,39.626671,39.683331,26.537609,465900
2002-06-12,39.383331,39.580002,39.166672,39.463329,26.390488,522900
2002-06-13,38.783329,39.026669,38.783329,38.799999,25.946896,555900
2002-06-14,38.156670,38.353329,37.666672,38.353329,25.648197,1286700
2002-06-17,38.486671,39.000000,38.383331,38.959999,26.053900,717600
2002-06-18,38.733330,39.090000,38.666672,39.053329,26.116310,552300
2002-06-19,38.206669,38.299999,37.980000,38.000000,25.411911,2799300
2002-06-20,38.083328,38.150002,37.823330,37.823330,25.293760,568200
2002-06-21,37.866669,38.189999,37.773331,37.866669,25.322746,1515000
2002-06-24,37.783329,37.973331,37.233330,37.869999,25.324972,1017600
