Date,Open,High,Low,Close
2004-03-26,104162.08,104162.08,104162.08,104162.08
2004-03-29,101507.84,101507.84,101507.84,101507.84
2004-03-30,100634.24,100634.24,100634.24,100634.24
2004-03-31,101265.12,101265.12,101265.12,101265.12
2004-04-01,100531.84,100531.84,100531.84,100531.84
2004-04-02,96978.72,96978.72,96978.72,96978.72
2004-04-05,94979.84,94979.84,94979.84,94979.84
2004-04-06,96218.24,96218.24,96218.24,96218.24
2004-04-07,97781.44,97781.44,97781.44,97781.44
2004-04-08,97471.2,97471.2,97471.2,97471.2
2004-04-12,95906.4,95906.4,95906.4,95906.4
2004-04-13,98760.32,98760.32,98760.32,98760.32
2004-04-14,99606.08,99606.08,99606.08,99606.08
2004-04-15,99234.4,99234.4,99234.4,99234.4
2004-04-16,98036.64,98036.64,98036.64,98036.64
2004-04-19,98151.52,98151.52,98151.52,98151.52
2004-04-20,99575.2,99575.2,99575.2,99575.2
2004-04-21,97661.6,97661.6,97661.6,97661.6
2004-04-22,91867.04,91867.04,91867.04,91867.04
2004-04-23,92665.6,92665.6,92665.6,92665.6
2004-04-26,91812.64,91812.64,91812.64,91812.64
2004-04-27,90536.32,90536.32,90536.32,90536.32
2004-04-28,93196.48,93196.48,93196.48,93196.48
2004-04-29,95108.8,95108.8,95108.8,95108.8
2004-04-30,96587.2,96587.2,96587.2,96587.2
2004-05-03,93763.2,93763.2,93763.2,93763.2
2004-05-04,92936.32,92936.32,92936.32,92936.32
2004-05-05,90502.88,90502.88,90502.88,90502.88
2004-05-06,93871.2,93871.2,93871.2,93871.2
2004-05-07,96549.76,96549.76,96549.76,96549.76
2004-05-10,99771.84,99771.84,99771.84,99771.84
2004-05-11,97076,97076,97076,97076
2004-05-12,95424.64,95424.64,95424.64,95424.64
2004-05-13,95387.68,95387.68,95387.68,95387.68
2004-05-14,95855.68,95855.68,95855.68,95855.68
2004-05-17,98566.88,98566.88,98566.88,98566.88
2004-05-18,97880,97880,97880,97880
2004-05-19,93484.96,93484.96,93484.96,93484.96
2004-05-20,94431.52,94431.52,94431.52,94431.52
2004-05-21,93597.76,93597.76,93597.76,93597.76
2004-05-24,91497.92,91497.92,91497.92,91497.92
2004-05-25,85566.56,85566.56,85566.56,85566.56
2004-05-26,86068.32,86068.32,86068.32,86068.32
2004-05-27,84915.04,84915.04,84915.04,84915.04
2004-05-28,85892,85892,85892,85892
2004-06-01,86152.64,86152.64,86152.64,86152.64
2004-06-02,86126.24,86126.24,86126.24,86126.24
2004-06-03,86621.12,86621.12,86621.12,86621.12
2004-06-04,86532.32,86532.32,86532.32,86532.32
2004-06-07,84000.16,84000.16,84000.16,84000.16
2004-06-08,82295.36,82295.36,82295.36,82295.36
2004-06-09,82786.72,82786.72,82786.72,82786.72
2004-06-10,81253.12,81253.12,81253.12,81253.12
2004-06-14,81248.16,81248.16,81248.16,81248.16
2004-06-15,79569.12,79569.12,79569.12,79569.12
2004-06-16,78963.84,78963.84,78963.84,78963.84
2004-06-17,79123.04,79123.04,79123.04,79123.04
2004-06-18,78544.16,78544.16,78544.16,78544.16
2004-06-21,79511.04,79511.04,79511.04,79511.04
2004-06-22,77338.24,77338.24,77338.24,77338.24
2004-06-23,73120.16,73120.16,73120.16,73120.16
2004-06-24,74336.32,74336.32,74336.32,74336.32
2004-06-25,75110.4,75110.4,75110.4,75110.4
2004-06-28,75652.64,75652.64,75652.64,75652.64
2004-06-29,74428.48,74428.48,74428.48,74428.48
2004-06-30,72724.16,72724.16,72724.16,72724.16
2004-07-01,73613.76,73613.76,73613.76,73613.76
2004-07-02,73396.32,73396.32,73396.32,73396.32
2004-07-06,75602.72,75602.72,75602.72,75602.72
2004-07-07,74094.08,74094.08,74094.08,74094.08
2004-07-08,75564.8,75564.8,75564.8,75564.8
2004-07-09,76128,76128,76128,76128
2004-07-12,75807.52,75807.52,75807.52,75807.52
2004-07-13,74703.68,74703.68,74703.68,74703.68
2004-07-14,74500.32,74500.32,74500.32,74500.32
2004-07-15,75093.12,75093.12,75093.12,75093.12
2004-07-16,75564,75564,75564,75564
2004-07-19,75415.84,75415.84,75415.84,75415.84
2004-07-20,73493.44,73493.44,73493.44,73493.44
2004-07-21,76382.88,76382.88,76382.88,76382.88
2004-07-22,73896.64,73896.64,73896.64,73896.64
2004-07-23,74172.64,74172.64,74172.64,74172.64
